NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;TP_PRESENCA;CO_PROVA;VL_PERC_COMP1;VL_PERC_COMP2;VL_PERC_COMP3;VL_PERC_COMP4;VL_PERC_COMP5;NU_NOTA_OBJETIVA;TX_RESPOSTAS_OBJETIVA;TX_GABARITO_OBJETIVA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;IN_QSE;Q1;Q2;Q3;Q4;Q5;Q6_1;Q6_2;Q6_3;Q6_4;Q6_5;Q6_6;Q6_7;Q6_8;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15;Q16_1;Q16_2;Q16_3;Q16_4;Q16_5;Q16_6;Q16_7;Q16_8;Q16_9;Q16_10;Q17_1;Q17_2;Q17_3;Q17_4;Q17_5;Q18;Q19;Q20;Q21;Q22;Q23;Q24;Q25;Q26;Q27;Q28;Q29;Q30_1;Q30_2;Q30_3;Q30_4;Q31;Q32;Q33_1;Q33_2;Q33_3;Q33_4;Q33_5;Q33_6;Q33_7;Q34_1;Q34_2;Q34_3;Q34_4;Q34_5;Q34_6;Q34_7;Q35;Q36;Q37;Q38;Q39;Q40;Q41;Q42_1;Q42_2;Q42_3;Q42_4;Q42_5;Q43_1;Q43_2;Q43_3;Q43_4;Q43_5;Q44_1;Q44_2;Q44_3;Q44_4;Q44_5;Q44_6;Q44_7;Q44_8;Q44_9;Q44_10;Q44_11;Q44_12;Q44_13;Q44_14;Q44_15;Q44_16;Q45_1;Q45_2;Q45_3;Q45_4;Q45_5;Q45_6;Q45_7;Q45_8;Q46;Q47_1;Q47_2;Q47_3;Q47_4;Q47_5;Q47_6;Q47_7;Q48_1;Q48_2;Q48_3;Q48_4;Q48_5;Q48_6;Q48_7;Q48_8;Q48_9;Q48_10;Q48_11;Q48_12;Q49;Q50;Q51;Q52;Q53;Q54_1;Q54_2;Q54_3;Q54_4;Q54_5;Q54_6;Q54_7;Q54_8;Q55;Q56;Q57_1;Q57_2;Q57_3;Q57_4;Q57_5;Q57_6;Q57_7;Q58_1;Q58_2;Q58_3;Q58_4;Q58_5;Q58_6;Q58_7;Q58_8;Q58_9;Q58_10;Q59_1;Q59_2;Q60_1;Q60_2;Q61_1;Q61_2;Q62_1;Q62_2;Q63_1;Q63_2;Q64_1;Q64_2;Q64_3;Q64_4;Q64_5;Q64_6;Q64_7;Q64_8;Q64_9;Q64_10;Q64_11;Q64_12;Q64_13;Q65_1;Q65_2;Q65_3;Q66;Q67;Q68;Q69_1;Q69_2;Q69_3;Q69_4;Q69_5;Q69_6;Q69_7;Q69_8;Q70;Q71_1;Q71_2;Q71_3;Q71_4;Q71_5;Q71_6;Q72_1;Q72_2;Q72_3;Q72_4;Q72_5;Q72_6;Q72_7;Q73_1;Q73_2;Q73_3;Q73_4;Q73_5;Q73_6
1;2002;3;M;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;1;2;1;1;V;33.33;33.33;33.33;33.33;33.33;33.33;EAEBBAABCBABCEDCBABDAAADDBDBBBECDAAAECDBADCBBEDECBBBAACEACBDECA;CDBCBACDEEDBCCECCACABAACEBEADEEACDEACEBACDCBBBCAEBBDBBDCACBEEED;P;62.5;62.5;62.5;37.5;62.5;57.5;1;B;B;B;A;D;B;B;B;B;B;B;B;A;C;E;*;E;B;D;I;I;C;C;B;C;F;B;A;A;B;A;F;B;B;A;A;B;A;B;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;B;B;A;B;A;A;C;B;A;B;B;B;B;B;B;B;B;7;9;0;0;7;7;0;5;9;9;2;3;1;5;0;0;A;A;B;B;B;B;B;B;A;A;B;B;A;B;B;A;*;2;5;*;7;7;2;*;*;*;3;7;J;F;C;F;B;A;B;B;B;B;B;B;B;D;E;B;B;B;B;B;B;B;B;B;B;B;A;A;A;C;B;C;C;B;E;C;B;F;B;F;D;A;B;A;B;A;A;A;A;A;B;A;B;A;B;E;D;G;B;A;B;1;2;2;5;8;1;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
2;2002;2;M;1100130;MACHADINHO D'OESTE;11;RO;1100130;MACHADINHO D'OESTE;11;RO;2;1;1;1;R;66.67;60.78;54.76;69.7;62.22;63.49;CCDDDACABACAABABBBEBDBCCEAAACCEBBEBCEDEAAEBDABDCDCDEBCDAABDECBE;EADCBACDBABAACACEBEEDBCCECCACAEBBEBEEDEEABBCACDCBCDDBBDCACDECBE;P;100;100;100;100;87.5;97.5;1;B;A;A;A;A;B;A;A;B;B;A;B;B;C;E;C;C;B;D;B;D;C;B;A;A;F;A;A;A;A;F;A;A;A;A;A;B;B;B;A;B;B;C;B;B;A;C;D;A;A;A;B;A;B;A;B;A;A;B;B;B;B;A;A;A;B;A;A;A;B;B;A;B;B;A;A;B;A;A;A;B;B;B;C;B;B;7;7;4;7;6;4;.;5;6;7;6;8;8;8;9;5;B;A;B;B;B;B;B;A;A;A;A;A;A;B;A;B;7;6;7;7;6;6;5;7;8;6;5;7;I;H;F;A;A;A;B;B;A;B;B;A;A;C;D;B;B;B;A;B;B;B;B;B;B;B;C;A;A;A;B;A;A;B;F;A;B;D;B;E;E;D;B;B;B;A;B;A;A;A;B;A;B;B;A;B;D;E;H;C;E;7;6;4;5;8;3;1;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
3;2002;6;F;1101104;ITAPUA DO OESTE;11;RO;1101104;ITAPUA DO OESTE;11;RO;2;1;1;1;R;21.21;19.61;26.19;21.21;20;22.22;ACEEAEEDABEBECABCBDCADCDBDDDCDEBCABDCCAEEDDCBAACACBDCEBABACABAC;EADCBACDBABAACACEBEEDBCCECCACAEBBEBEEDEEABBCACDCBCDDBBDCACDECBE;P;50;50;50;37.5;50;47.5;1;A;E;C;A;A;B;B;A;B;B;A;A;B;F;E;A;B;A;G;G;J;C;A;F;A;F;F;A;F;A;A;F;A;A;A;A;B;C;B;A;C;E;A;D;H;B;G;H;A;B;A;B;B;C;A;A;B;A;B;B;B;B;B;A;A;B;A;A;B;D;A;.;B;C;A;A;B;B;B;B;B;B;B;B;C;C;4;4;3;0;4;0;0;0;0;3;0;5;0;0;5;5;A;A;B;B;A;A;A;A;C;A;B;B;A;B;A;B;5;5;5;5;4;3;4;6;2;*;*;*;E;E;C;I;D;A;B;B;A;A;B;A;A;D;F;B;B;A;B;B;B;B;B;B;A;A;C;B;A;C;A;C;C;B;E;B;B;A;A;F;B;E;B;B;A;A;B;A;A;A;B;B;B;B;A;*;D;*;B;A;C;2;8;8;2;8;8;2;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
4;2002;10;F;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2002;2;F;1101104;ITAPUA DO OESTE;11;RO;1101104;ITAPUA DO OESTE;11;RO;2;1;1;1;R;18.18;19.61;21.43;15.15;22.22;19.05;CABEDCEEAAEAEEEBCCCABAEBCBDDADAADADCCCADA*CDDBDCBBCBAEDAABDEBBD;EADCBACDBABAACACEBEEDBCCECCACAEBBEBEEDEEABBCACDCBCDDBBDCACDECBE;B;0;0;0;0;0;0;1;A;A;A;A;A;B;A;A;B;B;A;B;B;F;E;A;B;B;H;D;G;B;A;F;F;F;F;A;F;A;F;F;A;B;A;A;B;A;A;A;A;A;B;B;A;B;D;F;B;B;B;A;A;D;A;A;B;A;B;B;A;B;A;A;A;B;A;A;A;A;A;A;A;B;A;B;B;B;B;B;B;A;B;A;B;A;6;2;5;0;8;4;0;0;8;0;0;3;4;1;0;0;A;A;A;B;A;B;A;A;D;A;A;B;A;B;A;A;*;*;*;5;9;*;*;*;*;9;*;*;J;K;B;B;A;A;B;B;B;B;B;B;A;E;D;B;B;B;A;B;B;B;C;C;A;B;B;A;A;C;A;B;A;E;F;B;B;A;F;B;E;A;B;A;A;B;B;A;A;A;B;A;A;B;A;*;E;G;D;A;E;6;8;8;1;1;1;7;7;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
6;2002;3;F;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;1;B;12.12;13.73;14.29;15.15;11.11;12.7;BBACBEDADBEEDBCABEBBDCBDAECADCCDADBADCBAECBDDBCEB*BDAECAC*CABDC;ABAEADBCCACECCEEDACCBECBAEBEEDBBCCDBAEBBEEAACEBACDCBCDCDEDBBDCA;P;75;50;50;62.5;37.5;55;1;A;B;D;A;A;B;B;A;B;B;A;B;B;E;E;A;B;A;G;C;D;C;A;F;B;F;F;A;F;A;F;A;A;B;A;A;B;B;B;A;B;C;B;B;H;B;G;J;.;B;B;A;A;C;C;B;B;B;B;B;B;B;A;A;A;B;A;A;B;B;A;A;B;C;A;A;B;A;B;B;B;B;B;C;C;B;8;5;7;4;5;1;1;3;5;7;0;8;8;;.;2;A;B;A;B;A;B;A;A;A;A;B;B;A;B;B;B;1;5;7;4;6;4;3;6;2;8;5;4;I;I;B;I;D;B;B;B;B;B;A;A;B;D;E;B;B;B;B;B;B;A;C;B;C;B;C;B;B;C;A;B;A;D;E;B;F;B;D;H;B;E;A;B;B;B;A;A;A;A;B;A;B;B;A;B;E;F;G;A;F;3;5;1;2;5;7;2;4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
7;2002;3;F;1100130;MACHADINHO D'OESTE;11;RO;1100130;MACHADINHO D'OESTE;11;RO;2;1;1;1;B;27.27;39.22;33.33;36.36;40;36.51;CEAEAEBBCEACCABBEBECBECEDEBEBEBBAEABDDEEAEDCBCBDADCDBDEEAABBABC;ABAEADBCCACECCEEDACCBECBAEBEEDBBCCDBAEBBEEAACEBACDCBCDCDEDBBDCA;P;75;62.5;62.5;62.5;62.5;65;1;A;B;B;A;A;B;B;B;B;B;A;A;B;C;E;I;A;J;D;D;G;B;F;F;A;F;F;F;F;F;F;F;A;B;B;B;B;A;B;A;C;D;B;A;.;.;.;.;.;B;B;B;A;D;A;A;A;A;B;B;B;B;A;A;A;B;A;A;A;A;A;A;B;B;A;A;B;A;B;B;B;B;B;C;C;B;9;9;7;5;9;0;0;7;6;7;8;8;8;5;8;8;A;A;B;B;B;B;B;A;A;A;A;B;A;B;A;B;9;8;8;8;8;9;7;7;6;8;9;7;I;I;F;F;B;B;B;B;B;B;B;A;A;D;A;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;A;B;C;E;F;E;C;A;F;A;E;F;B;B;B;A;B;A;A;A;B;A;B;B;A;E;D;B;D;A;A;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
8;2002;11;F;1101104;ITAPUA DO OESTE;11;RO;1101104;ITAPUA DO OESTE;11;RO;2;1;1;1;A;42.42;50.98;50;48.48;51.11;50.79;AAECEEBDACCECADAEEACBBEBCDEDDBEECABECBBDBCECBCCCBEDABDDCCBDABBB;ACEEDBCCECCACABACBAEBEEDEADCDBEEAACEBBBCACDCBCDCDEDBBDCACBEAEBB;P;75;62.5;62.5;75;75;70;1;A;*;B;B;A;B;B;B;A;A;B;B;B;B;B;C;C;D;E;G;H;D;A;A;A;A;A;A;F;A;F;A;A;B;A;A;A;B;B;A;A;E;B;B;.;A;D;B;D;A;B;B;A;B;B;.;.;.;.;.;.;.;A;A;A;A;A;A;A;B;C;*;B;C;A;A;B;A;A;B;A;A;B;B;A;B;8;5;0;5;5;5;0;0;5;6;6;6;6;6;6;6;A;A;A;B;B;B;A;A;D;A;A;B;A;B;A;B;6;6;6;6;6;6;8;8;6;8;8;8;G;G;A;A;A;A;B;B;A;B;B;B;B;D;D;B;A;A;A;B;A;B;B;B;B;A;B;B;A;B;A;A;C;A;F;B;B;A;B;D;F;C;B;B;B;A;A;A;A;A;B;A;B;B;A;*;G;B;*;A;E;1;*;6;2;3;4;5;8;B;.;.;.;.;.;.;B;A;B;B;B;A;A;A;A;A;A;A;A
9;2002;6;F;1100262;RIO CRESPO;11;RO;1100262;RIO CRESPO;11;RO;2;1;1;1;A;15.15;19.61;16.67;15.15;17.78;17.46;DDBBEEEACCCCADEBCBAACCDBCCEEAEDECEBAACDDAADAEBCAEBBAEDAAAADAAAD;ACEEDBCCECCACABACBAEBEEDEADCDBEEAACEBBBCACDCBCDCDEDBBDCACBEAEBB;P;62.5;50;50;62.5;50;55;1;A;E;B;A;A;B;B;B;B;B;A;B;B;D;E;A;B;I;J;E;B;B;A;F;F;F;*;A;F;A;F;F;A;B;A;A;B;B;B;A;E;.;.;.;A;B;C;F;B;A;B;B;A;.;B;.;.;.;.;.;.;.;B;B;A;B;A;A;B;C;A;D;B;C;A;A;B;A;B;B;B;A;B;B;C;A;9;8;4;8;8;0;0;6;9;9;8;8;8;9;8;8;B;.;B;B;B;A;B;A;E;A;A;B;.;B;A;B;7;8;8;8;7;*;8;9;8;7;8;8;I;I;B;F;A;A;B;B;B;.;A;A;B;D;D;B;B;B;A;B;B;B;B;C;A;B;C;A;A;C;A;B;A;D;B;A;B;A;F;B;E;D;B;B;A;B;B;A;A;B;B;A;B;A;A;E;B;D;B;A;A;1;1;3;1;2;5;8;8;C;B;B;B;B;B;B;A;B;B;B;B;A;A;B;A;A;A;B;B
10;2002;6;F;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
