NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_CERTIFICADO;NO_ENTIDADE_CERTIFICACAO;CO_UF_ENTIDADE_CERTIFICACAO;SG_UF_ENTIDADE_CERTIFICACAO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027;Q028;Q029;Q030;Q031;Q032;Q033;Q034;Q035;Q036;Q037;Q038;Q039;Q040;Q041;Q042;Q043;Q044;Q045;Q046;Q047;Q048;Q049;Q050;Q051;Q052;Q053;Q054;Q055;Q056;Q057;Q058;Q059;Q060;Q061;Q062
400000000001;2012;13;0;1;3;1;2003;;1;;;;;;;;0;;;;2933307;VITORIA DA CONQUISTA;29;BA;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;I;B;D;3;A;B;A;A;D;A;D;D;A;D;D;B;A;A;A;D;A;B;4;5;0;5;5;5;5;E;D;A;D;C;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
400000000002;2012;3;0;0;1;1;2011;;1;;;;;;;;0;;;;2611606;RECIFE;26;PE;1;1;1;1;141;137;146;150;537.7;552.2;532.6;468.3;AECBEDDBBCEBBDABEAAEEDCCEECBEBCDAECCBCDDECBEA;DABBAADDBEBEDAEDDBBBBBDBDEDDEEABBCBADECECACAE;ADEEBAAABEBDDBEAEEDCCDBCAACADDBAABBDEDACDADAE;EABACCCDCADAEDDBDACBDABDCBCECDBACBDADABBECEBE;1;BAEBEEDABDDDABCCBAEEACDCDECEACBDACCBEBACEEBEB;EADBAABDCEBDDCEEEECEBCDADCEDAECABEEEAEEECACDA;ADDBBADACBAADAEBDDCEBEEEDECDABEACBDBAAAADEDAABAEAD;EABEEECBDADEDCCCBDEBDECDBCAEEBEDBDEDADBDDCABA;P;80;60;60;80;0;280;E;C;G;4;A;B;A;A;A;B;A;A;A;D;A;B;A;A;D;D;A;C;5;1;0;5;2;5;0;A;A;D;B;A;A;A;B;B;B;;;;;;;;;;;;;;;;;;;;;;;
400000000003;2012;5;1;0;3;1;2011;;1;;;;;;;;0;;;;3301702;DUQUE DE CAXIAS;33;RJ;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;C;C;C;4;B;B;B;A;D;D;D;A;A;D;D;B;D;A;D;D;A;A;3;5;1;0;0;5;3;A;A;A;A;B;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
400000000004;2012;11;0;0;3;1;2010;;2;;;;;;;;0;;;;5300108;BRASILIA;53;DF;1;1;1;1;143;139;147;151;459;557.7;545;565.3;EBDCEBDEABEBBDBDCCEECADEDEBDEBDEEAEEBCACEEDEC;AADEEAEDEBAEEBABABCDCCDDAAAAABCABEECBECAEBECA;ADBDCAACABDBEAAEBEEBABADDCBADEDDBCCEDBDBDADAC;AEDBEECBADECEABECCEBDDCCDCADACABAEBDCBBEBC*DE;1;EEDABAEBCBAEEABDCDCDCDDABECEEBEBACBBACEDABECC;AABDEEEEEACEBCEBDBDDCCDDAECABEEECDACEADAEEECA;ADDBBADABCAADAAABAAAEBEDEABEDDCEBEEACBCDDBADEDAEAD;DEBDDEDAADEDEABEAEEEECCCBCABACBDBEDBDBDDECDBC;P;140;160;140;160;120;720;C;C;F;4;A;B;B;A;D;D;A;D;A;D;A;C;A;A;D;D;B;A;5;5;0;5;5;5;5;A;A;A;E;E;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
400000000005;2012;5;0;0;1;1;2010;;1;;;;;;;;0;;;;3304557;RIO DE JANEIRO;33;RJ;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;B;C;C;4;A;B;A;A;A;A;D;A;A;D;A;A;A;D;A;D;A;C;0;3;0;5;5;5;5;B;A;A;B;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
400000000006;2012;6;1;0;2;1;2010;;1;;;;;;;;0;;;;2925204;POJUCA;29;BA;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;C;C;C;6;A;B;A;A;A;A;D;D;A;D;D;C;A;D;D;D;A;B;5;4;2;2;0;5;0;C;A;A;B;A;B;B;A;A;B;;;;;;;;;;;;;;;;;;;;;;;
400000000007;2012;5;0;0;1;1;2009;;1;;;;;;;;0;;;;2507507;JOAO PESSOA;25;PB;1;1;1;1;143;139;146;150;507.3;565.1;500.6;659.7;EBDDAABBCEEABDCBCBCBAEDECEDEBDDAEEDCECDDAEEAC;DADEEBEDEEBBCCCBDBCDBCADDACAABEACEDEECEAEEECA;ADEABABDAEBDBBECDEEDAACBDEABDCBBADECDBEEAACBD;EABEECCBDAEECCCCDBECDBADCBDCEBBADEDCBDBDDCABA;0;EEDABAEBCBAEEABDCDCDCDDABECEEBEBACBBACEDABECC;AABDEEEEEACEBCEBDBDDCCDDAECABEEECDACEADAEEECA;ADDBBADACBAADAEBDDCEBEEEDECDABEACBDBAAAADEDAABAEAD;EABEEECBDADEDCCCBDEBDECDBCAEEBEDBDEDADBDDCABA;P;120;60;100;80;20;380;E;G;D;5;A;B;B;A;A;A;A;A;A;A;A;B;B;A;A;D;B;B;3;5;2;5;3;4;0;B;A;C;B;A;C;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
400000000008;2012;11;0;0;1;1;2004;;1;;;;;;;;0;;;;3302205;ITAPERUNA;33;RJ;1;1;0;0;144;140;;;522.8;633.6;;;CDAEEABCAEDAEBDCBDEABEBDDDACBCEACBDBEACBDCEAD;CBBCDCDAEECAADBDEBABECAEDEAEEDECACBCBAADAEDCD;;;;DDABECEEBEBCEEDABDDABAEBCBAEEACDCDACBCCBEBACE;CEBDDCDAECEAAABDDBABEEEEEEECEBECACDCDAADAEECE;;;F;;;;;;;E;E;B;2;C;B;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;B;5;5;5;5;5;5;5;B;A;A;B;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
400000000009;2012;9;1;0;3;1;2006;;1;;;;;;;;0;;;;5201108;ANAPOLIS;52;GO;0;0;0;0;;;;;;;;;;;;;;;;;;F;;;;;;;E;E;D;4;A;B;D;D;A;B;A;A;A;A;A;C;A;D;A;D;B;A;5;5;5;4;4;5;3;C;A;A;B;A;A;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;
400000000010;2012;3;1;0;1;1;2010;;1;;;;;;;;0;;;;3118304;CONSELHEIRO LAFAIETE;31;MG;1;1;1;1;144;140;148;152;590.3;611.3;552.4;620.7;AAACECDDEBACEEDACBDBEABDDBAEBDEACEADDCCBEBACC;CEBEDCDDAEEAAABDCBBADAEEDEEDABECACCAEDABAEDED;EDDAEACEAACAEBBBAEBEADDCDDEEDEACEDCAEDAEAEDDD;CBBECABAEABEDAECEAABBADCDCBBDEBBABDAAEADDBBED;0;DDABECEEBEBCEEDABDDABAEBCBAEEACDCDACBCCBEBACE;CEBDDCDAECEAAABDDBABEEEEEEECEBECACDCDAADAEECE;BDBADAADCBAABAADAEBAAAEBEEDDCABEEDECDDBAACBAEADDED;CCCBCABAEABEAEEEEDEDAADEDCBDDEBDECDBCBEDBDBDD;P;120;100;80;120;80;500;C;E;D;3;A;B;B;D;D;A;A;A;A;D;A;B;A;D;A;D;B;C;5;5;0;5;5;5;5;B;A;A;B;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
