NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_NACIONALIDADE;TP_ST_CONCLUSAO;ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;TP_ESTADO_CIVIL;TP_COR_RACA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_CERTIFICADO;NO_ENTIDADE_CERTIFICACAO;CO_UF_ENTIDADE_CERTIFICACAO;SG_UF_ENTIDADE_CERTIFICACAO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027;Q028;Q029;Q030;Q031;Q032;Q033;Q034;Q035;Q036;Q037;Q038;Q039;Q040;Q041;Q042;Q043;Q044;Q045;Q046;Q047;Q048;Q049;Q050;Q051;Q052;Q053;Q054;Q055;Q056;Q057;Q058;Q059;Q060;Q061;Q062;Q063;Q064;Q065;Q066;Q067;Q068;Q069;Q070;Q071;Q072;Q073;Q074;Q075;Q076
130005702868;2013;6;M;1;3;;;;0;1;;;;;;;;1;SECRETARIA DE ESTADO DE EDUCAÇÃO DO RIO GRANDE DO SUL;43;RS;4314902;PORTO ALEGRE;43;RS;1;1;1;1;174;170;177;181;474.9;429.3;520.2;530.2;ADAACCBBBEAABBDCDEECEABBEDEACEEAAECBEEDEDDABD;ADDCBBBCBDBDDEDADADCEDCCCCAEEABEEBAEBBECBCBDD;DCCCECAADCEEADBEAACECABCEDCCDECEDBCECEDEBCBBE;BEBCBCDECEEAEBCBEBBDDDCDDBCAEABBDBEECDCEBCDCE;0;DBABCECDBDBAAAABEBDEABCBBEDAACBABECDBCBCAAEDB;CBACEBABBDABBBBCCDEAEAACCABCDDCCBCAEEBEDBCCAC;ABCCCCCAEBADDBDECEDBEEACEBCBCAADDABEDECCECDAEACBBE;EBACDCDECAACDDAEEDBCAABBBDCEEBECBACBDADEDCDCB;7;80;80;60;80;20;320;E;E;D;2;C;B;A;D;A;D;D;A;B;D;D;A;D;D;D;D;A;A;3;4;4;3;3;5;5;B;A;A;F;C;A;A;A;A;A;18;E;5;4;5;5;5;B;B;B;B;A;B;B;A;A;A;B;B;B;B;B;B;B;A;B;B;B;B;B;B;A;B;B;B;B;C
130005702869;2013;12;M;1;1;2012;;2;0;3;;;;;;;;;;;;1501402;BELEM;15;PA;1;1;1;1;173;169;177;181;426.9;495;485.5;352.5;EDBBAABDACCADBAEAECDACCEECAECCDEBCBEBDDAABDBC;ACEBEBDEADCCEBAEBADAEAEAEEBAEACAAEBCCACED.CBC;DBCDBEAAACEEEECEAACEEBECBEDEABBAEABEABDBAABED;CDCEBDDADCDCAEEBEACEDACEECECBDABADCEAECDDECCD;0;BEBDABCBBACBEDAABECDAAEBCBCDBAABCECDAEBDBAADB;CDEABCDDBBBCBDABCAEEBEDBCCBEBABEACBACACCACCAC;ABCCCCCAEBADDBDECEDBEEACEBCBCAADDABEDECCECDAEACBBE;EBACDCDECAACDDAEEDBCAABBBDCEEBECBACBDADEDCDCB;7;40;40;40;40;20;180;C;E;B;3;A;B;A;D;D;A;D;A;A;D;A;B;A;D;D;D;A;B;5;5;3;5;3;5;5;F;A;A;E;E;B;A;A;A;A;15;A;5;5;5;3;5;A;A;B;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
130005702870;2013;3;F;1;1;2012;;1;0;3;;;;;;;;;;;;2903201;BARREIRAS;29;BA;1;1;1;1;171;167;178;182;387.9;443.5;422.4;386.3;ACACBBEDBDAECBCBEDEDAADDBDABEABAAECDBADBEDABC;EADEDAEBBDECECCCEDDBDEAEDCDBDBEBBBDDACDADAACE;DCBEEEDACCBECADEECCABCDAABDBEABAECDDBEEAAEBBC;EABCBDAECDEBDACEACBADBCAEBDACEECDBBDACEDABCBC;0;BBEDABEBDABAAABCBCBCACBECDEACECDBDBAADBAEBDBA;EAEBABBBBCCDEABEDBBCDDBDABCAEECCBCBACCCACACCA;CCBCABEACCAEACCCEECEDDABDDBDEACEBCBCAADBEEDEBBECDA;CDDADCBEDCCAABDCEDCDEEEDBEBACCAABBEBECBACBDAD;7;120;120;120;120;80;560;B;D;B;7;A;A;A;A;A;A;D;A;A;D;D;C;A;D;D;D;D;C;5;5;0;5;5;5;3;B;A;A;B;A;A;A;A;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130005702871;2013;12;F;1;1;2004;;1;1;1;;;;;;;;;;;;3538709;PIRACICABA;35;SP;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;0;;;;;6;0;0;0;0;0;0;B;C;F;6;A;B;B;B;B;A;A;A;A;D;A;C;A;D;D;D;A;B;0;5;0;5;3;5;5;B;A;A;C;B;A;A;A;A;A;20;E;0;5;5;5;5;A;B;A;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
130005702872;2013;11;F;1;1;2008;;1;0;1;;;;;;;;;;;;2402006;CAICO;24;RN;1;1;1;1;173;169;176;180;460.4;490.9;519.3;526.8;CBACDBBCCCCDEBEAADCCEBEEEDEAABDECADCCCAEAAAAB;ABEDEABDABBCABCDBBCDAEECCEBBEBCDADBDCCBBCEBDC;CDBBBCEACCBECABCBBDCDCAAADECAADCADECECCCAECCE;CBABADCBBBADDBEAEEEEBADBBBBDEDBDDDCADDCBCEEDE;1;BEBDABCBBACBEDAABECDAAEBCBCDBAABCECDAEBDBAADB;CDEABCDDBBBCBDABCAEEBEDBCCBEBABEACBACACCACCAC;ABCCCCEACBAEACEBCBDDABDDBDCAAEDECDABBECCEEACDBEECE;CAACDDAEEBACEDBCAABBEBEDCBBDCECBDADCBADCDEEDC;7;140;120;100;140;60;560;C;B;C;5;A;B;A;A;A;D;A;A;A;A;A;A;A;D;A;D;A;A;5;4;5;5;4;5;5;B;A;A;C;B;A;A;A;A;A;18;D;5;5;4;5;5;A;A;B;B;B;B;A;;;;;;;;;;;;;;;;;;;;;;;
130005702873;2013;11;F;1;1;2004;;1;1;1;;;;;;;;;;;;3164704;SAO SEBASTIAO DO PARAISO;31;MG;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;1;;;;;6;0;0;0;0;0;0;D;E;D;3;A;B;B;A;A;A;A;A;A;D;A;B;D;D;A;D;B;A;3;5;5;5;2;5;2;B;A;A;B;A;A;A;A;B;B;16;A;2;5;5;5;5;A;B;B;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
130005702874;2013;2;F;1;3;;;;0;1;;;;;;;;;;;;2309300;NOVA RUSSAS;23;CE;1;1;1;1;172;168;177;181;437;516.2;378.4;486.9;EABDBEBBCBEEDCDBACBACACCEBACBABCADBCBADCBCADA;BAEABDDEACACEBDEAEBBDBEAEBEAEDACEDBABDDDDABCD;CEBBEBBADEAACCCEEAEEBAAEBDDDECECCBBABBBCADCCA;BBEEEEACCAACAEAECAABAAAACDAADBAABDBACAACAEBBC;1;ABAABCBCBEBDBBEDAABCEAEACBECDDBAABCECDDBBDBAA;BEDBCCBEAACCACDEABBBCBCDDBDABCAEECCACEBABCBAC;ABCCCCCAEBADDBDECEDBEEACEBCBCAADDABEDECCECDAEACBBE;EBACDCDECAACDDAEEDBCAABBBDCEEBECBACBDADEDCDCB;7;80;40;40;60;40;260;B;B;B;3;A;B;A;D;D;D;D;D;D;D;D;D;D;D;D;D;A;C;5;5;5;5;5;5;5;B;A;A;F;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130005702875;2013;15;M;1;4;;;;1;2;;;;;;;;1;INSTITUTO FEDERAL SUL-RIO-GRANDENSE - CAMPUS BAGÉ;43;RS;4302808;CACAPAVA DO SUL;43;RS;1;1;0;0;172;168;175;179;414.9;548.4;;;DACBDABDDECDDBBBDCBCECAADCCACADBDDBCEABDBAEDA;DCABCCBBAABCAAADEACBCEADDDEDBDADEABAEEABCCDDC;.............................................;.............................................;1;ABAABCBCBEBDBBEDAABCEAEACBECDDBAABCECDDBBDBAA;BEDBCCBEAACCACDEABBBCBCDDBDABCAEECCACEBABCBAC;;;6;0;0;0;0;0;0;A;B;D;3;C;B;A;A;A;D;A;D;A;D;D;A;D;D;D;D;A;A;0;0;0;5;0;0;0;G;E;A;G;A;A;A;B;B;B;14;D;3;0;0;0;0;A;A;A;A;A;A;A;B;;;;;;;;;;A;B;B;B;B;A;B;B;B;B;B;B;B
130005702876;2013;3;M;1;1;2011;;1;0;2;;;;;;;;;;;;2516201;SOUSA;25;PB;1;1;1;1;171;167;175;179;372.2;530.9;411.1;525.2;ACCECCDDEBEBCAEDEDEDBABBCAABCECCDADEADCACABAD;CCEADCBCDCCDEBAEDBAACDCBAACEDEBABAAEDDBACEACA;DACEAEBAC.ECDCADACACAEBDDDDACBCABEABECECEEACB;BACCBCBBACDEADCBADCEAECCEECBDADAEACBECDACCAEC;1;BBEDABEBDABAAABCBCBCACBECDEACECDBDBAADBAEBDBA;EAEBABBBBCCDEABEDBBCDDBDABCAEECCBCBACCCACACCA;CCABCEABCCACAAEACDDBDEBCBCCEECEDDABEDEEACCDABBEDBE;EDBCAAECAABBBDCECDDAEBACEBECBDADEDCDCBCBADCDE;7;40;80;80;60;40;300;B;C;B;6;A;B;A;A;A;D;D;A;A;D;D;A;D;D;D;D;A;B;4;5;0;5;2;3;0;B;A;A;B;A;A;A;A;B;B;17;E;5;1;5;5;5;B;A;B;B;A;B;A;;;;;;;;;;;;;;;;;;;;;;;
130005702877;2013;9;F;1;1;2005;;1;2;1;;;;;;;;;;;;4209102;JOINVILLE;42;SC;0;0;0;0;171;167;175;179;;;;;.............................................;.............................................;.............................................;.............................................;1;;;;;6;0;0;0;0;0;0;G;E;H;1;B;B;B;D;A;A;D;A;A;D;D;A;A;D;D;D;B;A;5;1;1;5;5;5;5;A;A;A;B;A;B;A;A;A;A;15;D;0;0;5;5;5;A;A;A;A;A;A;A;;;;;;;;;;;;;;;;;;;;;;;
