NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_CERTIFICADO;NO_ENTIDADE_CERTIFICACAO;CO_UF_ENTIDADE_CERTIFICACAO;SG_UF_ENTIDADE_CERTIFICACAO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027;Q028;Q029;Q030;Q031;Q032;Q033;Q034;Q035;Q036;Q037;Q038;Q039;Q040;Q041;Q042;Q043;Q044;Q045;Q046;Q047;Q048;Q049;Q050
150000000376;2015;14;M;1;1;1;1;10;1;;0;;;;;;;;0;;;;4309209;Gravataí;43;RS;1;1;1;1;235;231;242;246;657.4;705.3;591.1;732.3;DACCBCABEDDCBABBBDCDCDEBDCECABCBEACEEDBBEBAED;CEAEADACEADEDBDACBBEEEEEBADCEBCBACBBDDADCCBBD;99999DAABDBDEDBDCDAC*BCDDBEEAECCAABCDCCDBBCDEBEDAB;DCEDAACEBBDBEBEBCAACBEBDDACDCBEDDCCBADAADAACC;1;DCCDBCAAEBECBAADADBDEDEEBBBCABCCEAAEEDCBDDCEA;AEAEADECEADEDBDACBBCEEECBADCEBCEACBBBDADCCABD;CEDAABDACDBDEDBDCDDCEDCDABEBAECCEABCECCBABDEEBEABB;DAEACAAEBADDBBEBCCCEBEEDCAADCBEDACCEDCABDBDEC;1;160;160;120;160;160;760;A;A;A;A;3;D;A;B;B;A;A;B;A;B;A;B;A;A;B;A;A;B;B;B;B;C;A;A;0;2;2;2;1;5;5;5;5;5;5;5;5;A;A;A;A;A;E;A;A;A
150000003053;2015;6;M;0;3;1;1;5;1;;0;;;;;;;;0;;;;3143302;Montes Claros;31;MG;0;0;0;0;;;;;;;;;;;;;1;;;;;4;0;0;0;0;0;0;E;E;C;B;3;B;A;C;D;A;B;B;A;A;A;A;A;A;B;B;A;D;B;B;B;C;B;E;5;5;5;5;5;5;5;2;5;0;0;5;5;B;A;A;A;A;A;A;A;A
150000001161;2015;7;M;1;2;1;4;0;1;;0;;;;;;;;1;INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE PERNAMBUCO;26;PE;2609600;Olinda;26;PE;1;1;1;1;238;234;241;245;528.5;531.1;511.3;566.5;DBCECECBDCCABADCDEBADABABDECECCEDBCADBBCEBCCA;EEBEDEBECEADDEBCCABCECDECDDAEDBEEBDCECEBADCCB;DEAAA99999EBDDDCBCDCEDEAEACCBCDCAEDCABCCEECCECCDCC;CADEBECBDADAABBBCABABCBDBDEEBEDBABDCBADADBCEA;0;DDCEEEABBBAADDEDBECBCABCAEDCBCAADBCEAAEEDCBCD;ADECAEAEDBDADEEACEBCECBACBBCEEBBDEACBCABDDADC;DEAACDCBDAEBDABBBEDEEBABDCDADBBEBDCDAECCEABDCECECC;BADEBCCDACCCACAAECEADCBEDAEAABDEDCBDECDBBBEED;1;120;120;120;140;140;640;E;C;D;B;3;B;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;C;B;B;A;B;D;D;5;5;5;5;5;5;5;5;5;0;0;5;;D;A;A;A;D;A;A;A;D
150000001335;2015;8;F;0;4;1;1;6;1;;0;;;;;;;;0;;;;3106200;Belo Horizonte;31;MG;0;0;0;0;;;;;;;;;;;;;0;;;;;4;0;0;0;0;0;0;E;E;F;F;3;F;A;B;D;B;A;B;A;B;A;B;A;A;C;A;B;D;B;B;B;C;E;D;4;1;5;5;5;5;5;5;5;5;5;5;5;A;A;A;A;A;A;A;A;A
150000001219;2015;3;M;0;3;1;1;2;1;;0;;;;;;;;0;;;;3168606;Teófilo Otoni;31;MG;1;1;1;1;238;234;240;244;679.9;730.6;621.2;732.4;DDCEEECDCBABDECDDECBCDBAAEDCACCADBEEAADAACECD;ADECBEAEDBDDDEEACABCDCBACBBCEEABDEACACABDDADC;99999BAADABEDACEBADAECCECCDEEAACACCDCDABEEBBCECEBE;EBCBBEACABDDACCDBCCBACAECBDEBCCBEDDCCDDBBDCAB;1;DDCEEEABBBAADDEDBECBCABCAEDCBCAADBCEAAEEDCBCD;ADECAEAEDBDADEEACEBCECBACBBCEEBBDEACBCABDDADC;AACDEBACDDBEDDCEABBAECCDCDDEEEABBABDCDABEBDBCECCBE;EBCCBEEDABDBDECDACCEDCCECAAEADCBEDAEACABADDBB;1;160;160;160;180;140;800;B;C;C;A;5;G;A;B;C;B;B;B;A;B;A;A;A;B;B;A;A;C;B;B;B;A;;;;;;;;5;5;0;5;3;5;1;;A;A;A;A;A;A;A;A;A
150000002884;2015;4;M;0;1;1;1;3;1;;0;;;;;;;;0;;;;4218004;Tijucas;42;SC;1;1;1;1;235;231;239;243;598.7;658;579;576.4;ACCDDCABCABBBDCAEDEEDDEBBDCCBDDCEAEDDBCBEDCAA;AEAEBDACEAACDBEECBBEEDECCADCCBCEABBABDDCCCABB;CBEAA99999BDEBECADEDBEAEAABEAEECEADEEEEDAEDDCDBACD;ADBEBDCADDCEBBDADACDBDBEBEACDBBACDBDECCEAEBDC;0;DCCDBCAAEBECBAADADBDEDEEBBBCABCCEAAEEDCBDDCEA;AEAEADECEADEDBDACBBCEEECBADCEBCEACBBBDADCCABD;CDEAADCDBABDEBECECCDBBEBEABBABDCDADEEDCDAECCABBDCE;DBBBADCADAEAEDCADCBECAAEDACCCEBDECABDBEEDEBCC;1;120;80;100;120;60;480;D;C;B;F;4;F;A;D;C;B;A;B;B;B;A;B;A;B;D;A;B;D;B;C;B;C;C;D;4;4;3;5;4;4;5;3;5;5;5;5;5;C;A;A;A;A;D;A;A;A
150000002510;2015;2;F;0;1;1;2;0;2;1;0;3518800;Guarulhos;35;SP;2;1;1;0;;;;3518800;Guarulhos;35;SP;1;1;1;1;237;233;242;246;652.1;671.9;609.3;685.5;EAEDCCDBEAAEADBBBEBADDCABADCAAECDCCBBCACDCBAC;CABBDEDABAEBCEBBCACACEBDABEDBDADCEEAACDECAEAD;BEDAA99999BDEBBECDDCEDCADAEEAECCAABCEAEADBDDDBECEB;DEBDCCEEABDEABEBCCAEBAEDAAABCAADABAABDACDDDCB;0;EADDCCBEEDCEAABBBEEADBCABCDEDAADBECBAEBCACDDC;CABDDEDADCBBCEBCEACBCBBECBADBDADCEEEAADECAEAE;CEDAABDACDBDEDBDCDDCEDCDABEBAECCEABCECCBABDEEBEABB;DAEACAAEBADDBBEBCCCEBEEDCAADCBEDACCEDCABDBDEC;1;180;160;160;160;160;820;F;F;E;E;3;J;A;B;C;B;A;B;B;B;B;B;A;B;C;B;B;D;B;C;B;A;;;;;;;;5;5;3;5;1;5;5;;C;A;A;A;B;A;A;A;A
150000000658;2015;11;M;0;2;1;1;10;1;;0;;;;;;;;0;;;;2109601;Rosário;21;MA;1;1;1;1;237;233;239;243;381.6;589.3;534.2;584.1;DBECADECEBDACAADEEDEADEBBBDCEEBAAEBDBBDDEABED;CBBDDEDEEABBECBEEAEACBCCDBABEDEDEEDEABDAEAABE;AECDA99999BDEBECEBEDBDBEDEDAABECEABBDEEDAECCBADADC;CABCADACCEBEBDDDCDBCCADABAADACDDCCABDDDECEBDC;0;EADDCCBEEDCEAABBBEEADBCABCDEDAADBECBAEBCACDDC;CABDDEDADCBBCEBCEACBCBBECBADBDADCEEEAADECAEAE;CDEAADCDBABDEBECECCDBBEBEABBABDCDADEEDCDAECCABBDCE;DBBBADCADAEAEDCADCBECAAEDACCCEBDECABDBEEDEBCC;1;120;120;80;120;80;520;D;E;A;D;7;E;A;B;D;A;A;B;B;B;A;A;A;A;C;B;A;E;B;B;A;A;;;;;;;;5;5;1;2;2;5;4;;A;A;A;A;A;A;A;A;A
150000000434;2015;14;M;1;3;1;1;10;1;;0;;;;;;;;0;;;;2805703;Propriá;28;SE;0;0;0;0;;;;;;;;;;;;;1;;;;;4;0;0;0;0;0;0;B;B;A;A;5;K;A;B;D;A;B;B;A;B;A;B;A;A;B;B;A;C;B;B;B;C;E;D;5;5;5;5;2;5;5;1;2;0;0;0;0;D;A;A;A;A;D;D;C;A
150000000216;2015;11;F;2;1;1;1;10;1;;0;;;;;;;;0;;;;4318705;São Leopoldo;43;RS;1;1;1;1;238;234;242;246;607.5;606.1;573.2;701.1;CCBEBCDDABCEDDCDAEABBADBEDDCBCAEDBEECCBEADBCD;BCABCECEDEAADEECBEBCEABEBEBEEEBBDEAEACAEDBACB;CEDBA99999BDEBBECDBCEDADADEAAACCADAAEBEDBBDAEBECDD;DCEECBBDABDBDBDBCCCDBEEEDACAABDBADDEBDEDDBCEC;0;DDCEEEABBBAADDEDBECBCABCAEDCBCAADBCEAAEEDCBCD;ADECAEAEDBDADEEACEBCECBACBBCEEBBDEACBCABDDADC;CEDAABDACDBDEDBDCDDCEDCDABEBAECCEABCECCBABDEEBEABB;DAEACAAEBADDBBEBCCCEBEEDCAADCBEDACCEDCABDBDEC;1;140;100;120;120;20;500;E;D;C;B;2;E;A;B;C;B;A;B;B;B;A;B;A;B;C;B;A;B;B;B;B;C;H;D;4;5;5;5;5;5;5;3;5;5;5;5;4;A;A;A;A;A;A;A;A;A
