NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027
170003336736;2017;11;F;1;1;1;1;11;1;;0;;;;;;;;3503208;Araraquara;35;SP;1;1;1;1;393;398;401;406;445.4;589;621.5;465.5;BADDEABACDEEAABCDECDBADEADCDDEEDEBEDEADBECABA;EDDBCEBABCDADDBBCADEDCDAEDCCAEBAEBBEEBAECBEBC;DADCD99999ECDBDADDDCBDEABAEADBBACDBBECEDEBCAABDDEA;ACBACDCAABDCDEABEBBAECBDDAECAECCEABEBAADEBDDD;0;CCDACDEEAAEABCDAAECDCBADECDEEBDACBEDDBCBBEBAA;DAEBEABDBEDACDDECADBCCCAECDEECAEBDBDBBAECDAEB;DEDCDBEEDEECABAAEDDCBDEDBAEABBBDEDBBCCDAEBCAABDAED;EECDCCECBDBBDBAEBADBECBDDABDEDEAADCCDAEACBBAC;1;140;120;120;100;80;560;E;D;C;B;3;D;A;B;C;A;B;B;A;C;A;B;A;A;C;B;B;C;B;B;B;A;A
170003333545;2017;7;F;1;1;1;1;5;1;;0;;;;;;;;5002902;Cassilândia;50;MS;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;E;B;B;4;C;A;B;D;B;B;B;A;A;A;B;A;A;B;A;A;C;B;A;A;A;A
170001663644;2017;13;F;1;1;1;1;11;1;;0;;;;;;;;3550308;São Paulo;35;SP;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;A;A;F;B;4;G;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;C;A;B;B;A;A
170001663645;2017;12;F;1;1;1;1;6;1;;0;;;;;;;;4209300;Lages;42;SC;1;1;1;1;393;395;399;406;604;610.4;563.9;591.2;BCEDECBECDEBDEBAECEDBDADEBCECCEACBEACBDCBACAD;CDEEBAAEEABDBEDAADBEADBEDADDBEBDABCBECBDCDDAB;99999EDBCDBEABAAEDCDDDEEBADEDCBBADCEADBEEABDACDCBA;EEADADABAECAEBABCBDABDBDCABCCCEBCACEABCEADCBA;1;CCDACDEEAAEABCDAAECDCBADECDEEBDACBEDDBCBBEBAA;CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE;DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB;EECDCCECBDBBDBAEBADBECBDDABDEDEAADCCDAEACBBAC;1;140;120;140;100;80;580;E;D;B;B;4;D;A;B;D;B;A;B;A;B;A;B;A;B;C;A;B;D;A;B;B;A;A
170001663646;2017;13;M;1;3;1;1;11;1;;0;;;;;;;;2704302;Maceió;27;AL;1;1;1;1;392;395;399;404;482.1;569.2;570.8;584.6;EAAAAAEEEABCDEABDDBAEDDDBBDBCAEEBEEBCACBACBEE;EDCEAABBECBDBDADDDADCAEEEDEBBEEEACADAEAACECBA;EDBED99999BADEDEABCCBDCEAEDEEBEBBBDEADBEEAADAEDDCB;CACBDEACECECEECDDBBBDBABCDBCCEEDBBCCDDCCDACED;0;BCBBEBAAEDDCBDADEEBADECDCBCDAAEABCEEAAECDCCDA;CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE;DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB;CCECEECDADBBDBBDBAEBDDABECBDCCDEDBBACAEADAEAC;1;140;120;120;120;80;580;A;B;B;F;3;C;A;B;B;A;B;B;A;A;A;A;A;A;B;B;A;C;A;C;B;A;A
170001663647;2017;5;F;1;1;1;1;2;1;;0;;;;;;;;4303103;Cachoeirinha;43;RS;1;1;1;1;393;396;400;406;558.8;594.9;522.8;578.5;CDABEEDEBAECEBEDBBADCDAEEDCEBAAADCCDBAAABDCAD;ECCDEACAEBAABEBCDDEACEECCABCAEAAEBCDBADECDBEC;99999BABDDBCECDBEDACCABAADBEDEBDEDDADCEBCABEADBBCE;EEDABDCBBECBDAEDBCACADCEDAEBCDEDCBABDBBCDECED;1;CCDACDEEAAEABCDAAECDCBADECDEEBDACBEDDBCBBEBAA;CDEAEECAEBDBDBBAECDAEBCCCDAEBEABDBEDAADBCDDEC;EDDCDBEEDECCEBDAEDAEDAABEDBBADEDEDDABAABBDCBEABBCC;EECDCCECBDBBDBAEBADBECBDDABDEDEAADCCDAEACBBAC;1;120;120;120;120;60;540;F;F;B;B;3;J;A;B;C;B;A;B;B;B;A;B;A;B;D;B;A;D;A;C;B;A;A
170003334115;2017;13;M;2;2;1;1;11;1;;0;;;;;;;;4106902;Curitiba;41;PR;1;1;1;1;394;397;402;405;625.9;636.8;588.3;607.5;AEABEECDDDAAAAEEEACCDAAAAEEBBDBEEECCBBAEEBEBB;ACDDECDAECADEECBCDBDEEEEBDCDCDAAEABEDBCEABABC;99999EDAEECDEADEDAACDECBEDBAEAABAAABCBBAECEADACDAE;CDCCDBCAEAACDEACEBDEBBDCCCDCCBCCBCDBECCABCEAB;1;EEAAECDCCDADAADECDCBCDAAEDEEBABCEDDCBEBAABCBB;ECAEBCDDECADBEABDDBDBDAEBCCCCDEAEDAEBBEDABAEC;DDCDEEDBEECEBADEDEABEDBBBDBCCABAAAABCBDAEDEDDBCDAE;BBDBADBEECDCCECAEBBDDEDDCCBBACADAEACEADABDECB;1;100;100;80;80;40;400;C;D;B;B;2;D;A;B;B;B;A;B;A;B;A;B;A;B;B;A;A;C;A;B;B;A;A
170003334116;2017;3;F;1;1;1;1;1;1;;0;;;;;;;;4214805;Rio do Sul;42;SC;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;F;G;F;D;4;C;B;B;C;B;A;B;B;B;A;B;A;B;B;A;B;D;B;B;B;A;A
170003334117;2017;8;F;1;1;1;1;6;1;;0;;;;;;;;4322509;Vacaria;43;RS;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;B;A;A;1;C;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;B;A;A;A;A;A
170001669940;2017;8;M;1;3;1;1;3;1;;0;;;;;;;;2607901;Jaboatão dos Guararapes;26;PE;1;1;1;1;391;396;400;403;533.8;427.6;320.7;479;BDEAEBDADAEEBCBDABADCECCACEADBDBBCACEAAACAABC;CABDABBCEDBACCBACADBACBACBDACABCEADBECAEBADEB;CBAED99999AACDDACDECACACDADBDBDBDACCEBADBADCDABDEC;BCBDABCDEBEBADECDCAABCEEBDEBDBDCEBACADCDBEABA;0;DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE;CDEAEECAEBDBDBBAECDAEBCCCDAEBEABDBEDAADBCDDEC;EDDCDBEEDECCEBDAEDAEDAABEDBBADEDEDDABAABBDCBEABBCC;ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD;1;80;100;80;60;0;320;A;E;A;A;3;B;B;B;C;A;A;B;A;B;A;B;A;A;B;B;A;D;B;B;B;A;A
