NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
190001595656;2019;13;M;1;3;1;1;11;1;;0;;;;;;;;3552205;Sorocaba;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;B;A;A;2;A;A;B;C;A;A;B;A;A;A;A;A;A;A;A;A;C;A;C;B
190001421546;2019;8;M;1;1;1;1;5;1;1;0;;;;;;;;2910800;Feira de Santana;29;BA;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;E;B;B;4;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;E;A;A;B
190001133210;2019;13;F;1;3;1;1;13;1;1;0;;;;;;;;2304400;Fortaleza;23;CE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;E;B;C;2;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B
190001199383;2019;10;F;1;1;1;1;4;1;;0;;;;;;;;1721000;Palmas;17;TO;1;1;1;1;504;510;513;516;483.8;503.6;537.3;392;BACCEEBEECDBEDDAEECDEDEADEBBCDBCAACADEEACCBBD;AECEDADAABAADBAADAEBACBAECCDAEADCDBBECCEDABCD;99999AAABEBBCCBDCAEECADBACAADAECCCDCCBAEBDEEEAEECA;DDBBBBCDCCDCAECCBBECDAEBADCD..CABCCECAEBDBBDA;1;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;120;120;120;100;0;460;C;E;B;D;4;E;A;C;C;A;B;B;A;B;A;A;A;A;C;A;B;D;A;B;B
190001237802;2019;7;F;1;1;1;1;4;1;1;0;;;;;;;;3118601;Contagem;31;MG;1;1;1;1;504;510;513;516;513.6;575.5;570.7;677;EEBEDEEEEEBDCEEBEEEEABEEBEEBAEDEECECCDBCECEAE;EEDCCEDDBCBEABAAABADCEDABDBBCBDCCCCDAEDEDBDCB;ABBBE99999ABBCACCCAEEEDCCDADCCAEDEDDEEDBBDECBDECCC;CDEEEEEAEECBABABCDCACEEEEEEDEEACEAEDEBEEECEDE;0;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;EEBCEEDBADBBCBABCCADCEBACDBBACCACACBEADBBADCB;ADBBEDCABAABBCBCDAAECDDDBAAAECADECDCEBDEEAECBDBBCC;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;160;120;180;200;200;860;E;E;C;C;3;G;A;C;D;B;A;B;B;B;A;B;A;A;B;A;A;C;B;B;B
190001782198;2019;13;M;2;2;1;1;13;1;;0;;;;;;;;5107602;Rondonópolis;51;MT;1;1;1;1;505;508;512;518;563.7;644.9;564.2;675.3;DCDBDEDCDDBCBEADBEBBCDBDBDEBEBACABDBDADEDACAE;ABABADBECAEEBCBBDCBEEDBDEADBEACDBEEBAACABACEB;BBDDA99999ABACBECEAECECCDEAEDCDAEBDAEDEDECABCAADCD;DDCBADCBCDEABEACEBBCADEBEECEADBECDBADEAECACDD;0;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;160;200;180;180;80;800;B;B;C;B;7;E;A;B;D;A;C;B;A;B;A;B;A;A;B;A;A;E;A;B;B
190001421548;2019;7;F;1;3;1;1;5;1;1;0;;;;;;;;2924009;Paulo Afonso;29;BA;1;1;1;1;505;508;512;518;484.6;488.4;507.2;594.7;BADEBCACADECAEAAAECCCDEACCEA.ECCDDCECBEBADAAC;AAAECDAACDAEDCDBDCBBDDAECBBECBDDDECCACCEDEACA;99999BEDAACECEACDCDEBECACBDDECAACDBACDCAECADEACEBD;ACBBAECECDBDDDCEDCEACDBCDCDDAAEAEDDCECDCBDECB;1;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;CBABADBBCEEEBCBADCBEEDBBEADBBACDBBACCCCADACAC;BBEDABDACACBABAECBBCCADCEBDBBCDDEEAAADDBECDECAAECD;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;140;120;120;160;60;600;E;B;C;B;3;B;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
190001595657;2019;5;M;1;3;1;1;1;1;;0;;;;;;;;3550308;São Paulo;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;E;B;B;B;2;D;A;B;C;A;A;B;B;B;A;B;A;A;B;A;A;C;A;A;B
190001592264;2019;5;F;1;1;1;1;1;1;1;0;;;;;;;;3550308;São Paulo;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;B;C;C;F;6;C;A;B;C;A;A;B;B;A;A;B;A;A;B;A;A;B;B;A;A
190001592266;2019;2;M;1;1;1;2;0;2;1;0;;;;;;;;3550308;São Paulo;35;SP;1;1;1;1;505;509;514;518;543.9;548.1;502.5;480.7;BADADDBADBBECEBBCECBCBEBBBCBABDECDEACADDADCEE;CDACAEDDABABADCEBABCBEEBACBBCBCDADCEEDABCAADA;EBBBC99999BCDBEBEECCDACDADEBABCBDDBDDBAEECCBACDBCC;DACCDBCBBDDDCCAECBABBABCCBCEBDBCBBBACCBCCEDCB;0;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;120;40;120;120;0;400;E;E;B;B;5;F;A;B;C;B;A;B;B;B;A;B;A;A;B;A;B;C;B;B;B
190001592265;2019;6;F;1;1;1;1;4;1;1;0;;;;;;;;3530607;Mogi das Cruzes;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;D;D;C;B;2;C;A;B;B;A;A;B;B;B;B;B;A;B;C;A;B;C;A;A;B
