NU_INSCRICAO;TP_RESPOSTA;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025A;Q025B;Q025C;Q025D;Q025E;Q025F;Q026A;Q026B;Q026C;Q026D;Q026E;Q026F;Q026G;Q026H;Q027;Q028A;Q028B;Q028C;Q028D;Q028E;Q028F;Q028G;Q028H;Q028I;Q028J;Q028K;Q028L;Q028M;Q028N;Q028O;Q028P;Q028Q;Q028R;Q029;Q030A;Q030B;Q030C;Q030D;Q030E;Q030F;Q030G;Q031;Q032A;Q032B;Q032C;Q032D;Q032E;Q032F;Q032G;Q033A;Q033B;Q033C;Q033D;Q033E;Q033F;Q033G;Q033H;Q033I;Q033J;Q034
210054478229;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478230;1;D;;D;C;A;B;B;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;B;B;B;B;B;B;B;A;B;B;B;B;B;;;;;;;;;;;;;;;;;;;B;;;;;;;;A;A;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;A
210054478234;1;D;;E;E;C;C;C;B;B;B;B;B;B;B;B;C;B;B;B;B;A;A;B;B;B;B;B;B;A;B;B;B;B;A;B;B;B;B;B;;;;;;;;;;;;;;;;;;;A;A;B;B;B;B;B;B;C;;;;;;;;;;;;;;;;;;B
210054478235;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478236;1;A;A;B;D;B;B;B;B;A;B;A;A;B;C;A;A;B;A;A;B;A;B;B;A;B;B;A;B;A;B;B;B;A;A;B;B;B;B;B;;;;;;;;;;;;;;;;;;;A;B;A;B;A;B;B;B;A;A;B;B;B;B;B;A;B;B;B;B;B;B;A;B;B;A;B
210054478237;1;D;;D;E;D;C;C;C;D;D;D;D;D;D;D;D;D;D;D;B;A;A;C;A;B;B;B;B;B;A;B;B;B;B;B;A;B;B;B;;;;;;;;;;;;;;;;;;;B;;;;;;;;B;;;;;;;;;;;;;;;;;;E
210054478238;1;D;;D;F;A;A;B;B;A;B;B;B;B;B;C;C;C;C;C;A;B;B;B;B;B;A;B;B;A;B;B;B;B;A;B;B;A;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;A;A;B;B;B;B;B;B;C;;;;;;;;;;;;;;;;;;B
210054478239;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478240;1;E;;D;C;B;B;B;B;B;B;C;A;B;A;A;A;A;B;B;A;B;B;B;B;B;B;B;B;A;B;B;A;B;B;B;B;B;B;A;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;C;;;;;;;;;;;;;;;;;;B
210054478241;1;E;;E;E;B;A;B;B;B;D;C;B;B;B;C;C;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478244;1;D;;D;E;A;A;A;A;A;B;B;B;B;B;C;C;B;B;B;A;C;B;A;A;B;A;B;B;A;B;B;B;B;B;B;B;A;B;A;A;B;A;A;A;A;A;A;A;A;A;A;B;A;A;A;B;B;A;B;A;A;B;B;B;B;A;A;B;B;B;B;A;B;B;A;B;B;B;B;B;B;B;A;B
