NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;IN_CERTIFICADO;NO_ENTIDADE_CERTIFICACAO;CO_UF_ENTIDADE_CERTIFICACAO;SG_UF_ENTIDADE_CERTIFICACAO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;Q026;Q027;Q028;Q029;Q030;Q031;Q032;Q033;Q034;Q035;Q036;Q037;Q038;Q039;Q040;Q041;Q042;Q043;Q044;Q045;Q046;Q047;Q048;Q049;Q050;Q051;Q052;Q053;Q054;Q055;Q056;Q057;Q058;Q059;Q060;Q061;Q062;Q063;Q064;Q065;Q066;Q067;Q068;Q069;Q070;Q071;Q072;Q073;Q074;Q075
300000872305;2011;2;F;1;1;3;0;2;;;;;;;;;0;;;;3510401;CAPIVARI;35;SP;0;0;0;0;121;117;125;129;;;;;;;;;0;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEE;BAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDD;F;0;0;0;0;0;0;4;B;B;E;E;A;B;B;;;;;;;;;;;;;;;;5;4;5;4;A;A;A;F;A;A;;;;;;;;;;;;;;;;;;;;;;;;B;A;A;B;A;A;D;A;A;A;A;D;A;A;A;D;A;D;A
300000865137;2011;15;F;3;2;1;0;2;1;;;;;;;;0;INSTITUTO FEDERAL DO PARÁ - CAMPUS TUCURUÍ;15;PA;3303500;NOVA IGUACU;33;RJ;0;0;0;0;121;117;125;129;;;;;;;;;1;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEE;BAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDD;F;0;0;0;0;0;0;1;I;B;D;D;D;B;A;0;5;5;5;5;B;A;B;B;A;B;A;B;D;18;3;5;0;3;B;A;A;B;A;C;;;;;;;;;;;;;;;;;;;;;;;;A;B;A;A;A;A;A;A;D;A;A;A;A;A;A;D;A;D;A
300000866074;2011;3;F;1;1;1;0;2;1;;;;;;;;0;;;;3556206;VALINHOS;35;SP;1;1;1;1;121;117;127;131;590.9;563.1;574.4;685.1;DCEADDBBDACAEABEBBAEBEEEDAACEDEDABCCDAEBCAECA;EDECAABECBDAACACECDBBEAECACDCEAEADEADBCDAABBA;CBCCADDEBDADCCEABBECACCBDACBEABAABBCDCAADCCEE;EEBDEBBCADAEBBCEEECDDDCACBDDDEABCDCECCBCBACDD;1;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EEDBDDBDCAEDECDADDCAABBEDACBADECCEABDAEBCDCBABCEAE;EEBACBBCEEEECABDEECBCDBACBDEDADCCBCDCCECACCDD;P;180;180;180;200;140;880;4;G;E;H;A;A;B;B;;;;;;;;;;;;;;;;5;5;4;4;B;A;C;B;A;C;;;;;;;;;;;;;;;;;;;;;;;;A;B;A;B;A;B;A;B;C;A;A;D;A;C;A;A;D;D;A
300000863601;2011;2;M;1;3;3;0;2;;;;;;;;;0;;;;2706703;PENEDO;27;AL;0;0;0;0;121;117;125;129;;;;;;;;;1;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEE;BAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDD;F;0;0;0;0;0;0;5;C;C;A;A;A;B;B;;;;;;;;;;;;;;;;5;5;5;5;A;A;A;F;A;A;;;;;;;;;;;;;;;;;;;;;;;;A;A;A;B;A;A;A;A;D;A;D;D;A;A;A;D;D;D;A
300000862321;2011;3;F;1;4;2;2;1;1;3509502;CAMPINAS;35;SP;4;1;1;0;;;;3509502;CAMPINAS;35;SP;1;1;1;1;121;117;128;132;566;649.6;624.5;801.6;DCEEBCADBEAAEEBBBEACEDDEDABDBBEAEBBBDCDBCBDCB;EBEBCECEDBDAACACECCBBCEEEDCDBBAEADDDBBDDEAABB;DEEDBDCADDDECEECAABCDADDCCCABBACBDEDACB*AAEEE;CEABCCECEBCEEEEDDAADACBEDDBBDCCADDCCCCD.CCCCA;0;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;DEEDBDBDACDEADDDECBECAABCDADABCCEBEACBDEDACBACBEEA;EEABBCECEBCEEEECDABDACBEDDBBCCCADDCBCCDDCCECA;P;200;160;160;200;200;920;2;G;G;F;C;A;B;B;;;;;;;;;;;;;;;;5;4;4;4;B;A;C;B;A;C;;;;;;;;;;;;;;;;;;;;;;;;B;B;B;B;A;A;A;A;A;A;A;D;A;C;A;A;A;A;C
300000870022;2011;15;F;2;1;4;0;2;;;;;;;;;1;;;;5300108;BRASILIA;53;DF;0;0;0;0;121;117;125;129;;;;;;;;;1;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEE;BAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDD;F;0;0;0;0;0;0;4;B;B;B;B;A;B;A;1;5;4;2;0;B;B;B;B;B;B;B;B;E;17;3;2;5;1;D;C;A;F;A;I;B;;;;;;;;;A;0;0;1;3;4;0;0;0;E;4;5;1;4;B;B;B;B;A;A;A;D;D;D;A;D;A;A;D;D;D;D;A
300000862410;2011;2;M;1;0;2;3;1;1;3556206;VALINHOS;35;SP;4;1;1;0;;;;3509502;CAMPINAS;35;SP;1;1;1;1;121;117;127;131;780.3;664.8;616.8;902.6;ACEACDBECBCAEBACBEABCEDEDAABDBEDEBDDDEABCADCA;ECEBCEAAEBDAACAEECDBBCACCDCDCBAEABADBADDEAABA;EEDEDEDECDABDCEABBEDBCBCDACCEAEDACBCADBABCEAE;EEBACABCEEEECABDEECBCDBACBDEDADCCBCDCCDCACCDD;0;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EEDBDDBDCAEDECDADDCAABBEDACBADECCEABDAEBCDCBABCEAE;EEBACBBCEEEECABDEECBCDBACBDEDADCCBCDCCECACCDD;P;120;120;120;120;120;600;4;E;E;D;A;A;B;B;;;;;;;;;;;;;;;;4;4;2;1;B;A;C;F;A;C;;;;;;;;;;;;;;;;;;;;;;;;B;B;B;B;A;A;D;A;A;A;A;A;A;B;A;A;A;D;A
300000866654;2011;1;M;1;1;2;0;2;1;5201108;ANAPOLIS;52;GO;4;1;1;0;;;;5201108;ANAPOLIS;52;GO;1;1;1;1;121;117;125;129;648.2;710.9;661.5;784;CCEADDBBAAEACBAECEABCEDEAAABEBEAABEDDEABABDCA;EDEBCECEDBDAACACECDBBCAEADCDDBAEADADBBDDEAABA;EEDBDEDDDACDEBDEDAACDBCAEBAECCEADDADBCBACBBEE;BAEEECCAAEBCBECCBAEDBDBEADDDBDCBBBADCAECCCDED;0;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EEDBDBDDCAEDDDACDEBBECAACDABADBAECCEADDCEBCBACBAEE;BAEEECCEEEBCBECEBADCBDBEADCDBDCCCBADCAECCCCDD;P;180;180;180;180;140;860;2;E;H;E;A;A;B;B;;;;;;;;;;;;;;;;3;5;1;3;B;A;C;B;A;C;;;;;;;;;;;;;;;;;;;;;;;;A;B;A;A;B;A;A;A;A;A;A;A;D;B;A;D;A;A;B
300000873329;2011;2;M;1;5;2;1;1;1;3550308;SAO PAULO;35;SP;4;1;1;0;;;;3550308;SAO PAULO;35;SP;1;1;1;1;121;117;126;130;575.9;586.7;551.6;496.2;ACDACBBBCBCAEABDCEABEBEEDAABCCBEEBCBDDEBDBDCA;EDEBAAEEDBEAACACDCDBBCAECDCDDBBEADADBBCEAAABA;DDBACDEDAEEDACACDEBACACDCDDEEAABCBAACADBCECEE;DBBEEBCAAAAECBBADCEBBDEBEACBADEBABCADBEBDBCDA;1;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;EDEDBDDBACDEDCEDDAAACBEBBADDACCECBAEDCBADEACBBCEAE;ABEEEBCEEBCECBADECEDBBCDACBEDBADCCDCDDCCECACC;P;120;120;120;120;100;580;4;E;E;C;E;A;B;B;;;;;;;;;;;;;;;;4;5;3;5;B;A;D;B;A;C;;;;;;;;;;;;;;;;;;;;;;;;A;A;A;A;B;A;D;A;A;A;A;D;A;B;A;D;D;D;B
300000865675;2011;2;F;1;1;2;8;1;1;2918001;JEQUIE;29;BA;2;1;1;0;;;;2918001;JEQUIE;29;BA;1;1;1;1;121;117;128;132;517.2;562.6;573.7;645.7;DCBCBDABDBAADCBECBACACDECABAAAEDAECBDBBBBBECA;EBEBCEDADBEACDADECEBBCACCDCDCBAEEDBD.BCDBBACC;AEDDBDEADDEEDAECDDDBDBDACCCDBEACBDBEABBABBEEA;BEAABCACDBCEABECBBDDABBDDBECDBDBDEEBBEBBCCBCA;0;DCEACDBECBCAEBACBEAECEDEDAABDBEDBBDDDCABCBDCA;EDEBCEAEDBDAACACECDBBCACEDCDCBAEADADBBDDEAABA;DEEDBDBDACDEADDDECBECAABCDADABCCEBEACBDEDACBACBEEA;EEABBCECEBCEEEECDABDACBEDDBBCCCADDCBCCDDCCECA;P;180;200;180;200;100;860;2;E;E;E;A;C;B;A;3;0;5;5;5;B;A;A;B;A;A;B;A;B;16;5;5;5;5;B;A;C;B;A;A;;;;;;;;;;;;;;;;;;;;;;;;B;A;B;B;A;A;A;B;D;D;A;D;A;B;A;D;D;D;C
